Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Payment_Method,Order_Status,Name,City,Signup_Date,Age,Gender,Category,Cost_Price,Supplier,Total_Revenue,Profit
ORD0001,19-04-2024,C520,P504,5,1500,0,Debit Card,Cancelled,User_420,Mumbai,20-02-2023,30,Female,Fashion,1200,Unknown,7500,1500
ORD0002,08-10-2024,C461,P503,2,1500,0.05,Credit Card,Delivered,User_361,Bangalore,08-02-2023,28,Female,Fashion,600,ABC Pvt Ltd,2850,1650
ORD0003,24-11-2023,C224,P501,10,999,0,Upi,Delivered,User_124,Delhi,20-08-2024,30,Male,Electronics,1000,ABC Pvt Ltd,9990,-10
ORD0004,30-05-2023,C152,P501,1,1500,0,Cod,Cancelled,User_52,Delhi,03-12-2024,28,Female,Electronics,1000,ABC Pvt Ltd,1500,500
ORD0005,08-04-2025,C546,P502,2,1500,0.05,Cod,Cancelled,User_446,Delhi,15-06-2024,45,Male,Electronics,1800,XYZ Traders,2850,-750
ORD0006,21-09-2022,C469,P505,5,1500,0.15,Credit Card,Cancelled,User_369,Mumbai,31-03-2024,28,Male,Home,2500,Global Corp,6375,-6125
ORD0007,26-03-2022,C425,P505,2,2500,0.1,Debit Card,Returned,User_325,Bangalore,10-09-2024,28,Male,Home,2500,Global Corp,4500,-500
ORD0008,15-08-2022,C315,P504,5,999,0.15,Debit Card,Cancelled,User_215,Delhi,23-10-2024,28,Female,Fashion,1200,Unknown,4245.75,-1754.25
ORD0009,04-07-2025,C505,P503,1,1500,0.1,Cod,Returned,User_405,Delhi,03-08-2022,20,Female,Fashion,600,ABC Pvt Ltd,1350,750
ORD0010,08-01-2025,C122,P502,1,2500,0.15,Cod,Delivered,User_22,Mumbai,18-02-2022,20,Male,Electronics,1800,XYZ Traders,2125,325
ORD0011,10-12-2022,C180,P503,10,999,0.05,Cod,Delivered,User_80,Delhi,17-03-2025,20,Male,Fashion,600,ABC Pvt Ltd,9490.5,3490.5
ORD0012,22-04-2022,C402,P505,5,999,0,Debit Card,Delivered,User_302,Mumbai,02-10-2025,45,Male,Home,2500,Global Corp,4995,-7505
ORD0013,02-11-2025,C500,P504,1,1500,0.15,Upi,Returned,User_400,Bangalore,14-06-2023,28,Female,Fashion,1200,Unknown,1275,75
ORD0014,28-04-2025,C223,P502,1,2500,0.05,Upi,Returned,User_123,Delhi,26-12-2025,45,Female,Electronics,1800,XYZ Traders,2375,575
ORD0015,30-12-2025,C211,P505,1,1500,0.05,Credit Card,Delivered,User_111,Delhi,20-02-2024,45,Female,Home,2500,Global Corp,1425,-1075
ORD0016,17-01-2024,C570,P503,5,1500,0.1,Upi,Delivered,User_470,Bangalore,31-03-2024,28,Female,Fashion,600,ABC Pvt Ltd,6750,3750
ORD0017,16-10-2025,C409,P504,5,999,0.15,Cod,Cancelled,User_309,Bangalore,29-07-2025,30,Female,Fashion,1200,Unknown,4245.75,-1754.25
ORD0018,08-02-2023,C560,P502,10,1500,0.05,Upi,Returned,User_460,Delhi,05-11-2023,28,Female,Electronics,1800,XYZ Traders,14250,-3750
ORD0019,05-10-2024,C197,P504,1,999,0.05,Upi,Delivered,User_97,Delhi,03-08-2023,45,Male,Fashion,1200,Unknown,949.05,-250.95
ORD0020,11-01-2024,C218,P502,10,2500,0.05,Credit Card,Delivered,User_118,Mumbai,04-01-2025,28,Male,Electronics,1800,XYZ Traders,23750,5750
ORD0021,05-04-2022,C572,P503,1,999,0.05,Credit Card,Delivered,User_472,Delhi,31-07-2023,28,Female,Fashion,600,ABC Pvt Ltd,949.05,349.05
ORD0022,07-01-2023,C462,P505,5,999,0.15,Upi,Delivered,User_362,Bangalore,15-04-2025,28,Female,Home,2500,Global Corp,4245.75,-8254.25
ORD0023,21-01-2025,C566,P502,1,2500,0.1,Cod,Delivered,User_466,Bangalore,07-02-2023,30,Female,Electronics,1800,XYZ Traders,2250,450
ORD0024,29-12-2024,C535,P501,10,1500,0.15,Credit Card,Returned,User_435,Mumbai,21-03-2023,28,Male,Electronics,1000,ABC Pvt Ltd,12750,2750
ORD0025,22-02-2024,C162,P505,5,999,0.05,Debit Card,Delivered,User_62,Mumbai,11-05-2024,30,Female,Home,2500,Global Corp,4745.25,-7754.75
ORD0026,30-06-2025,C347,P503,10,1500,0.15,Upi,Returned,User_247,Bangalore,05-11-2022,45,Female,Fashion,600,ABC Pvt Ltd,12750,6750
ORD0027,24-08-2023,C225,P501,10,1500,0.15,Debit Card,Delivered,User_125,Mumbai,30-09-2024,45,Female,Electronics,1000,ABC Pvt Ltd,12750,2750
ORD0028,02-12-2023,C382,P502,1,1500,0.1,Credit Card,Delivered,User_282,Bangalore,24-07-2022,45,Female,Electronics,1800,XYZ Traders,1350,-450
ORD0029,01-04-2024,C344,P505,2,1500,0.1,Upi,Cancelled,User_244,Mumbai,05-03-2025,45,Female,Home,2500,Global Corp,2700,-2300
ORD0030,17-09-2025,C359,P503,5,2500,0,Debit Card,Returned,User_259,Delhi,16-11-2025,30,Female,Fashion,600,ABC Pvt Ltd,12500,9500
ORD0031,11-12-2022,C176,P502,1,1500,0.1,Upi,Delivered,User_76,Bangalore,14-02-2022,30,Female,Electronics,1800,XYZ Traders,1350,-450
ORD0032,04-08-2023,C416,P504,1,2500,0.15,Upi,Delivered,User_316,Mumbai,20-05-2024,28,Male,Fashion,1200,Unknown,2125,925
ORD0033,22-04-2025,C371,P505,1,2500,0.15,Debit Card,Delivered,User_271,Delhi,05-01-2023,28,Female,Home,2500,Global Corp,2125,-375
ORD0034,04-09-2022,C222,P503,1,2500,0.15,Debit Card,Cancelled,User_122,Delhi,25-01-2024,30,Female,Fashion,600,ABC Pvt Ltd,2125,1525
ORD0035,31-03-2022,C320,P504,1,999,0.1,Upi,Delivered,User_220,Bangalore,29-11-2025,28,Male,Fashion,1200,Unknown,899.1,-300.9
ORD0036,27-04-2024,C149,P504,2,999,0.05,Credit Card,Returned,User_49,Bangalore,04-04-2022,30,Female,Fashion,1200,Unknown,1898.1,-501.9
ORD0037,11-05-2025,C463,P503,2,999,0,Upi,Delivered,User_363,Mumbai,18-03-2022,28,Female,Fashion,600,ABC Pvt Ltd,1998,798
ORD0038,10-08-2025,C375,P503,1,1500,0.05,Upi,Cancelled,User_275,Mumbai,09-05-2025,28,Female,Fashion,600,ABC Pvt Ltd,1425,825
ORD0039,19-10-2025,C246,P504,1,2500,0.05,Upi,Delivered,User_146,Delhi,26-12-2025,45,Male,Fashion,1200,Unknown,2375,1175
ORD0040,03-03-2022,C309,P503,5,1500,0.05,Upi,Returned,User_209,Delhi,09-02-2024,45,Male,Fashion,600,ABC Pvt Ltd,7125,4125
ORD0041,15-02-2024,C387,P501,2,1500,0,Debit Card,Cancelled,User_287,Mumbai,20-08-2023,45,Male,Electronics,1000,ABC Pvt Ltd,3000,1000
ORD0042,13-01-2023,C470,P504,1,1500,0,Debit Card,Cancelled,User_370,Mumbai,13-02-2024,20,Female,Fashion,1200,Unknown,1500,300
ORD0043,06-06-2024,C513,P503,10,999,0.05,Upi,Cancelled,User_413,Delhi,11-11-2024,28,Male,Fashion,600,ABC Pvt Ltd,9490.5,3490.5
ORD0044,24-11-2025,C410,P501,5,2500,0.05,Credit Card,Cancelled,User_310,Delhi,08-02-2022,30,Male,Electronics,1000,ABC Pvt Ltd,11875,6875
ORD0045,25-04-2025,C189,P503,10,1500,0,Debit Card,Cancelled,User_89,Mumbai,06-11-2023,28,Female,Fashion,600,ABC Pvt Ltd,15000,9000
ORD0046,08-12-2023,C520,P501,10,999,0.1,Upi,Delivered,User_420,Mumbai,20-02-2023,30,Female,Electronics,1000,ABC Pvt Ltd,8991,-1009
ORD0047,19-04-2023,C482,P503,2,2500,0.15,Debit Card,Delivered,User_382,Delhi,28-11-2023,20,Male,Fashion,600,ABC Pvt Ltd,4250,3050
ORD0048,02-10-2024,C538,P505,1,1500,0.15,Credit Card,Cancelled,User_438,Bangalore,18-02-2025,28,Female,Home,2500,Global Corp,1275,-1225
ORD0049,28-12-2023,C571,P505,2,1500,0.1,Cod,Returned,User_471,Bangalore,01-11-2024,28,Female,Home,2500,Global Corp,2700,-2300
ORD0050,07-06-2023,C523,P504,2,1500,0.15,Cod,Delivered,User_423,Mumbai,28-08-2023,20,Male,Fashion,1200,Unknown,2550,150
ORD0051,11-05-2025,C246,P501,5,1500,0.1,Upi,Delivered,User_146,Delhi,26-12-2025,45,Male,Electronics,1000,ABC Pvt Ltd,6750,1750
ORD0052,29-11-2022,C369,P505,1,1500,0,Credit Card,Delivered,User_269,Bangalore,25-08-2025,28,Male,Home,2500,Global Corp,1500,-1000
ORD0053,10-03-2022,C456,P501,5,1500,0.05,Upi,Delivered,User_356,Delhi,06-04-2024,30,Male,Electronics,1000,ABC Pvt Ltd,7125,2125
ORD0054,10-05-2022,C261,P501,1,999,0.15,Upi,Cancelled,User_161,Delhi,24-02-2023,20,Male,Electronics,1000,ABC Pvt Ltd,849.15,-150.85
ORD0055,13-06-2023,C366,P502,5,999,0.05,Upi,Delivered,User_266,Bangalore,15-01-2024,45,Male,Electronics,1800,XYZ Traders,4745.25,-4254.75
ORD0056,03-03-2025,C597,P501,1,1500,0.15,Cod,Delivered,User_497,Bangalore,03-01-2025,28,Female,Electronics,1000,ABC Pvt Ltd,1275,275
ORD0057,24-01-2024,C227,P501,1,1500,0.05,Upi,Cancelled,User_127,Delhi,19-08-2024,45,Female,Electronics,1000,ABC Pvt Ltd,1425,425
ORD0058,20-12-2022,C519,P505,5,2500,0.15,Credit Card,Delivered,User_419,Bangalore,10-12-2023,20,Female,Home,2500,Global Corp,10625,-1875
ORD0059,27-07-2022,C281,P504,2,1500,0.05,Debit Card,Delivered,User_181,Delhi,14-05-2023,28,Male,Fashion,1200,Unknown,2850,450
ORD0060,08-04-2023,C197,P505,5,1500,0.15,Credit Card,Delivered,User_97,Delhi,03-08-2023,45,Male,Home,2500,Global Corp,6375,-6125
ORD0061,11-06-2024,C546,P505,1,1500,0.15,Debit Card,Delivered,User_446,Delhi,15-06-2024,45,Male,Home,2500,Global Corp,1275,-1225
ORD0062,01-02-2022,C307,P504,10,1500,0.05,Debit Card,Delivered,User_207,Mumbai,16-08-2023,28,Male,Fashion,1200,Unknown,14250,2250
ORD0063,09-07-2025,C120,P503,5,1500,0.1,Upi,Returned,User_20,Mumbai,09-09-2025,20,Female,Fashion,600,ABC Pvt Ltd,6750,3750
ORD0064,28-11-2025,C435,P501,5,2500,0.15,Upi,Delivered,User_335,Delhi,26-06-2023,20,Male,Electronics,1000,ABC Pvt Ltd,10625,5625
ORD0065,20-10-2022,C379,P504,10,1500,0.15,Credit Card,Delivered,User_279,Bangalore,25-10-2025,28,Male,Fashion,1200,Unknown,12750,750
ORD0066,15-06-2022,C449,P501,10,1500,0.1,Upi,Cancelled,User_349,Mumbai,12-04-2022,20,Male,Electronics,1000,ABC Pvt Ltd,13500,3500
